sid,search,"splunk_server","_time","is_realtime","api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"1549440061.4973","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1549440061.872507",0,"1549256400.000000000","1549429199.000000000",0,1549440062,39,0,"1549256400.000000000","1549429199.000000000",completed,"0.163",,,,,,,,,,,,,,,
"1549440063.4974","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1549440063.081271",0,"1549256400.000000000","1549429199.000000000",0,1549440063,1,0,"1549256400.000000000","1549429199.000000000",completed,"0.051000000000000004",,,,,,,,,,,,,,,
"1549440063.4975","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1549440063.754643",0,"1549256400.000000000","1549429199.000000000",0,1549440063,1,0,"1549256400.000000000","1549429199.000000000",completed,"1.193",,,,,,,,,,,,,,,
"1549526461.5846","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1549526461.685770",0,"1549342800.000000000","1549515599.000000000",0,1549526461,39,0,"1549342800.000000000","1549515599.000000000",completed,"0.17",,,,,,,,,,,,,,,
"1549526462.5847","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1549526462.831494",0,"1549342800.000000000","1549515599.000000000",0,1549526462,1,0,"1549342800.000000000","1549515599.000000000",completed,"0.061",,,,,,,,,,,,,,,
"1549526463.5848","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1549526463.571179",0,"1549342800.000000000","1549515599.000000000",0,1549526463,1,0,"1549342800.000000000","1549515599.000000000",completed,"1.035",,,,,,,,,,,,,,,
"1549612861.2129","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1549612861.457859",0,"1549429200.000000000","1549601999.000000000",0,1549612861,39,0,"1549429200.000000000","1549601999.000000000",completed,"0.13",,,,,,,,,,,,,,,
"1549612862.2130","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1549612862.408280",0,"1549429200.000000000","1549601999.000000000",0,1549612862,1,0,"1549429200.000000000","1549601999.000000000",completed,"0.05",,,,,,,,,,,,,,,
"1549612863.2131","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1549612863.020311",0,"1549429200.000000000","1549601999.000000000",0,1549612863,1,0,"1549429200.000000000","1549601999.000000000",completed,"0.991",,,,,,,,,,,,,,,
"1549699261.3440","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1549699261.534878",0,"1549515600.000000000","1549688399.000000000",0,1549699261,39,0,"1549515600.000000000","1549688399.000000000",completed,"0.166",,,,,,,,,,,,,,,
"1549699262.3441","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1549699262.472759",0,"1549515600.000000000","1549688399.000000000",0,1549699262,1,0,"1549515600.000000000","1549688399.000000000",completed,"0.055",,,,,,,,,,,,,,,
"1549699263.3442","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1549699263.067758",0,"1549515600.000000000","1549688399.000000000",0,1549699263,1,0,"1549515600.000000000","1549688399.000000000",completed,"1.054",,,,,,,,,,,,,,,
"1549785661.341","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1549785661.471274",0,"1549602000.000000000","1549774799.000000000",0,1549785661,39,0,"1549602000.000000000","1549774799.000000000",completed,"0.12",,,,,,,,,,,,,,,
"1549785662.342","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1549785662.383513",0,"1549602000.000000000","1549774799.000000000",0,1549785662,1,0,"1549602000.000000000","1549774799.000000000",completed,"0.062",,,,,,,,,,,,,,,
"1549785662.343","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1549785662.990855",0,"1549602000.000000000","1549774799.000000000",0,1549785663,1,0,"1549602000.000000000","1549774799.000000000",completed,"1.027",,,,,,,,,,,,,,,
"1549872061.92","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1549872061.548368",0,"1549688400.000000000","1549861199.000000000",0,1549872061,39,0,"1549688400.000000000","1549861199.000000000",completed,"0.121",,,,,,,,,,,,,,,
"1549872062.93","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1549872062.367355",0,"1549688400.000000000","1549861199.000000000",0,1549872062,1,0,"1549688400.000000000","1549861199.000000000",completed,"0.048",,,,,,,,,,,,,,,
